Date and time,Energy per inverter|Primo 3.8-1 208-240 (# 1),Energy per inverter per kWp|Primo 3.8-1 208-240 (# 1),Total system,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
22.05.2018,4.26,1.12,4.26,
23.05.2018,19.85,5.22,19.85,
24.05.2018,17.94,4.72,17.94,
25.05.2018,20.94,5.51,20.94,
26.05.2018,19.35,5.09,19.35,
27.05.2018,20.15,5.30,20.15,
28.05.2018,20.64,5.43,20.64,
29.05.2018,20.19,5.31,20.19,
30.05.2018,14.07,3.70,14.07,
31.05.2018,19.84,5.22,19.84,
01.06.2018,16.37,4.31,16.37,
02.06.2018,22.46,5.91,22.46,
03.06.2018,17.01,4.48,17.01,
04.06.2018,20.77,5.47,20.77,
05.06.2018,20.91,5.50,20.91,
06.06.2018,14.08,3.71,14.08,
07.06.2018,19.10,5.03,19.10,
08.06.2018,19.36,5.09,19.36,
09.06.2018,20.04,5.27,20.04,
10.06.2018,19.98,5.26,19.98,
11.06.2018,11.79,3.10,11.79,
12.06.2018,18.43,4.85,18.43,
13.06.2018,20.33,5.35,20.33,
14.06.2018,20.14,5.30,20.14,
15.06.2018,20.99,5.52,20.99,
16.06.2018,19.99,5.26,19.99,
17.06.2018,15.85,4.17,15.85,
18.06.2018,13.11,3.45,13.11,
19.06.2018,11.29,2.97,11.29,
20.06.2018,22.31,5.87,22.31,
21.06.2018,19.68,5.18,19.68,
22.06.2018,17.52,4.61,17.52,
23.06.2018,4.93,1.30,4.93,
24.06.2018,16.14,4.25,16.14,
25.06.2018,18.22,4.79,18.22,
26.06.2018,20.48,5.39,20.48,
27.06.2018,20.68,5.44,20.68,
28.06.2018,21.15,5.56,21.15,
29.06.2018,20.92,5.50,20.92,
30.06.2018,8.77,2.31,8.77,
01.07.2018,18.84,4.96,18.84,
02.07.2018,20.20,5.31,20.20,
03.07.2018,19.38,5.10,19.38,
04.07.2018,14.93,3.93,14.93,
05.07.2018,12.14,3.20,12.14,
06.07.2018,18.66,4.91,18.66,
07.07.2018,18.23,4.80,18.23,
08.07.2018,14.81,3.90,14.81,
09.07.2018,17.24,4.54,17.24,
10.07.2018,12.99,3.42,12.99,
11.07.2018,19.43,5.11,19.43,
12.07.2018,20.82,5.48,20.82,
13.07.2018,17.04,4.48,17.04,
14.07.2018,17.69,4.65,17.69,
15.07.2018,17.85,4.70,17.85,
16.07.2018,13.68,3.60,13.68,
17.07.2018,11.19,2.94,11.19,
18.07.2018,20.29,5.34,20.29,
19.07.2018,19.80,5.21,19.80,
20.07.2018,18.89,4.97,18.89,
21.07.2018,9.73,2.56,9.73,
22.07.2018,20.14,5.30,20.14,
23.07.2018,17.94,4.72,17.94,
24.07.2018,20.47,5.39,20.47,
25.07.2018,5.42,1.43,5.42,
26.07.2018,20.40,5.37,20.40,
27.07.2018,9.04,2.38,9.04,
28.07.2018,16.22,4.27,16.22,
29.07.2018,12.02,3.16,12.02,
30.07.2018,18.26,4.81,18.26,
31.07.2018,20.95,5.51,20.95,
01.08.2018,19.98,5.26,19.98,
02.08.2018,20.21,5.32,20.21,
03.08.2018,21.01,5.53,21.01,
04.08.2018,19.32,5.08,19.32,
05.08.2018,18.26,4.81,18.26,
06.08.2018,5.73,1.51,5.73,
07.08.2018,10.01,2.64,10.01,
08.08.2018,17.52,4.61,17.52,
09.08.2018,15.36,4.04,15.36,
10.08.2018,13.21,3.48,13.21,
11.08.2018,15.39,4.05,15.39,
12.08.2018,9.06,2.38,9.06,
13.08.2018,5.18,1.36,5.18,
14.08.2018,11.44,3.01,11.44,
15.08.2018,13.72,3.61,13.72,
16.08.2018,11.25,2.96,11.25,
17.08.2018,18.33,4.82,18.33,
18.08.2018,5.49,1.44,5.49,
19.08.2018,11.66,3.07,11.66,
20.08.2018,15.51,4.08,15.51,
21.08.2018,10.70,2.82,10.70,
22.08.2018,8.69,2.29,8.69,
23.08.2018,17.34,4.56,17.34,
24.08.2018,16.08,4.23,16.08,
25.08.2018,18.01,4.74,18.01,
26.08.2018,17.77,4.68,17.77,
27.08.2018,18.54,4.88,18.54,
28.08.2018,12.73,3.35,12.73,
29.08.2018,12.26,3.23,12.26,
30.08.2018,17.80,4.68,17.80,
31.08.2018,17.72,4.66,17.72,
01.09.2018,13.90,3.66,13.90,
02.09.2018,15.43,4.06,15.43,
03.09.2018,10.06,2.65,10.06,
04.09.2018,9.91,2.61,9.91,
05.09.2018,13.11,3.45,13.11,
06.09.2018,10.01,2.63,10.01,
07.09.2018,3.48,0.92,3.48,
08.09.2018,3.76,0.99,3.76,
