Date and time,Energy per inverter|Primo 6.0-1 208-240 (1) (# 1),Energy per inverter per kWp|Primo 6.0-1 208-240 (1) (# 1),Total system,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
31.12.2018,4.30,0.60,4.30,
01.01.2019,2.90,0.40,2.90,
02.01.2019,2.22,0.31,2.22,
03.01.2019,21.15,2.94,21.15,
04.01.2019,21.86,3.04,21.86,
05.01.2019,8.76,1.22,8.76,
06.01.2019,21.19,2.94,21.19,
07.01.2019,23.41,3.25,23.41,
08.01.2019,24.10,3.35,24.10,
09.01.2019,4.24,0.59,4.24,
10.01.2019,0.52,0.07,0.52,
11.01.2019,2.92,0.41,2.92,
12.01.2019,2.07,0.29,2.07,
13.01.2019,4.29,0.60,4.29,
14.01.2019,22.54,3.13,22.54,
15.01.2019,4.12,0.57,4.12,
16.01.2019,4.80,0.67,4.80,
17.01.2019,10.84,1.51,10.84,
18.01.2019,6.04,0.84,6.04,
19.01.2019,24.71,3.43,24.71,
20.01.2019,26.42,3.67,26.42,
21.01.2019,1.13,0.16,1.13,
22.01.2019,20.90,2.90,20.90,
23.01.2019,18.74,2.60,18.74,
24.01.2019,9.85,1.37,9.85,
25.01.2019,25.61,3.56,25.61,
26.01.2019,25.09,3.48,25.09,
27.01.2019,16.61,2.31,16.61,
28.01.2019,26.36,3.66,26.36,
29.01.2019,30.87,4.29,30.87,
30.01.2019,20.59,2.86,20.59,
31.01.2019,8.37,1.16,8.37,
01.02.2019,5.84,0.81,5.84,
02.02.2019,16.68,2.32,16.68,
03.02.2019,6.84,0.95,6.84,
04.02.2019,2.77,0.38,2.77,
05.02.2019,3.65,0.51,3.65,
06.02.2019,10.16,1.41,10.16,
07.02.2019,33.70,4.68,33.70,
08.02.2019,19.04,2.64,19.04,
09.02.2019,4.67,0.65,4.67,
10.02.2019,3.92,0.54,3.92,
11.02.2019,33.02,4.59,33.02,
12.02.2019,18.25,2.53,18.25,
13.02.2019,14.89,2.07,14.89,
14.02.2019,2.81,0.39,2.81,
15.02.2019,6.31,0.88,6.31,
16.02.2019,31.84,4.42,31.84,
17.02.2019,32.87,4.57,32.87,
18.02.2019,4.62,0.64,4.62,
19.02.2019,26.56,3.69,26.56,
20.02.2019,12.00,1.67,12.00,
21.02.2019,5.07,0.70,5.07,
22.02.2019,28.35,3.94,28.35,
23.02.2019,36.95,5.13,36.95,
24.02.2019,28.77,4.00,28.77,
25.02.2019,14.21,1.97,14.21,
26.02.2019,3.65,0.51,3.65,
27.02.2019,6.14,0.85,6.14,
28.02.2019,7.58,1.05,7.58,
01.03.2019,6.77,0.94,6.77,
02.03.2019,1.36,0.19,1.36,
03.03.2019,5.14,0.71,5.14,
04.03.2019,38.31,5.32,38.31,
05.03.2019,38.44,5.34,38.44,
06.03.2019,16.58,2.30,16.58,
07.03.2019,9.07,1.26,9.07,
08.03.2019,38.57,5.36,38.57,
09.03.2019,9.49,1.32,9.49,
10.03.2019,30.53,4.24,30.53,
11.03.2019,5.11,0.71,5.11,
12.03.2019,22.07,3.07,22.07,
13.03.2019,7.87,1.09,7.87,
14.03.2019,42.21,5.86,42.21,
15.03.2019,38.36,5.33,38.36,
16.03.2019,38.77,5.39,38.77,
17.03.2019,38.65,5.37,38.65,
18.03.2019,37.45,5.20,37.45,
19.03.2019,23.95,3.33,23.95,
20.03.2019,41.97,5.83,41.97,
21.03.2019,34.86,4.84,34.86,
